,dateTime,open,high,low,close,volume
0,2021-12-23 09:15:00.0,17105.0,17129.95,17105.0,17106.15,0
1,2021-12-23 09:16:00.0,17106.05,17116.0,17100.3,17116.0,12050
2,2021-12-23 09:17:00.0,17116.15,17117.85,17102.7,17107.9,5800
3,2021-12-23 09:18:00.0,17107.9,17120.0,17107.9,17116.7,7450
4,2021-12-23 09:19:00.0,17116.7,17116.7,17105.4,17106.1,4600
5,2021-12-23 09:20:00.0,17106.05,17117.0,17105.0,17117.0,9500
6,2021-12-23 09:21:00.0,17114.45,17119.95,17113.6,17115.45,3250
7,2021-12-23 09:22:00.0,17115.45,17116.0,17108.15,17109.55,2600
8,2021-12-23 09:23:00.0,17110.0,17110.4,17104.0,17109.15,4600
9,2021-12-23 09:24:00.0,17105.9,17118.3,17104.0,17117.4,3900
10,2021-12-23 09:25:00.0,17116.1,17116.1,17116.1,17116.1,8400
11,2021-12-23 09:26:00.0,17120.25,17128.0,17116.9,17125.9,3400
12,2021-12-23 09:27:00.0,17125.9,17128.0,17125.0,17128.0,2550
13,2021-12-23 09:28:00.0,17128.0,17132.85,17126.35,17132.85,4000
14,2021-12-23 09:29:00.0,17131.0,17131.0,17131.0,17131.0,2000
15,2021-12-23 09:30:00.0,17125.15,17143.85,17125.15,17143.7,6550
16,2021-12-23 09:31:00.0,17139.25,17146.3,17139.25,17146.3,5700
17,2021-12-23 09:32:00.0,17145.45,17146.9,17136.0,17136.35,5150
18,2021-12-23 09:33:00.0,17136.35,17142.3,17134.0,17134.0,4750
19,2021-12-23 09:34:00.0,17134.0,17134.95,17129.15,17132.0,3550
20,2021-12-23 09:35:00.0,17133.65,17133.65,17125.5,17129.9,9150
21,2021-12-23 09:36:00.0,17129.9,17137.95,17128.0,17133.75,2850
22,2021-12-23 09:37:00.0,17133.85,17133.85,17133.85,17133.85,4750
23,2021-12-23 09:38:00.0,17134.9,17140.0,17133.0,17139.3,2800
24,2021-12-23 09:39:00.0,17139.3,17139.3,17131.4,17139.0,2100
25,2021-12-23 09:40:00.0,17139.0,17145.0,17136.0,17145.0,2500
26,2021-12-23 09:41:00.0,17145.0,17150.0,17145.0,17147.2,4900
27,2021-12-23 09:42:00.0,17147.2,17156.0,17147.2,17155.0,8200
28,2021-12-23 09:43:00.0,17155.0,17157.1,17153.55,17155.2,3300
29,2021-12-23 09:44:00.0,17155.2,17162.45,17155.05,17159.4,5100
30,2021-12-23 09:45:00.0,17159.4,17161.3,17155.1,17157.85,4250
31,2021-12-23 09:46:00.0,17155.6,17155.6,17151.0,17154.7,4400
32,2021-12-23 09:47:00.0,17154.7,17154.7,17147.1,17147.1,3450
33,2021-12-23 09:48:00.0,17147.1,17155.5,17147.1,17155.5,1700
34,2021-12-23 09:49:00.0,17155.5,17165.0,17155.5,17164.95,5150
35,2021-12-23 09:50:00.0,17164.95,17168.85,17162.15,17164.8,5250
36,2021-12-23 09:51:00.0,17165.0,17165.0,17160.05,17164.4,3300
37,2021-12-23 09:52:00.0,17164.85,17170.0,17164.4,17167.8,3150
38,2021-12-23 09:53:00.0,17167.8,17170.0,17165.5,17169.5,5050
39,2021-12-23 09:54:00.0,17171.0,17175.0,17170.3,17174.95,4550
40,2021-12-23 09:55:00.0,17174.95,17175.0,17167.4,17167.55,2300
41,2021-12-23 09:56:00.0,17167.55,17167.55,17162.1,17165.0,3950
42,2021-12-23 09:57:00.0,17163.5,17163.5,17163.5,17163.5,3250
43,2021-12-23 09:58:00.0,17160.65,17165.0,17160.05,17160.05,5450
44,2021-12-23 09:59:00.0,17160.05,17160.05,17152.0,17152.05,4250
45,2021-12-23 10:00:00.0,17152.05,17155.0,17147.55,17148.55,3150
46,2021-12-23 10:01:00.0,17148.55,17160.0,17148.1,17158.9,5950
47,2021-12-23 10:02:00.0,17159.65,17159.65,17159.65,17159.65,1400
48,2021-12-23 10:03:00.0,17158.15,17160.0,17156.8,17159.05,1200
49,2021-12-23 10:04:00.0,17159.05,17160.0,17156.8,17160.0,2500
50,2021-12-23 10:05:00.0,17160.0,17160.0,17152.1,17155.0,800
51,2021-12-23 10:06:00.0,17155.0,17155.0,17150.75,17151.9,2100
52,2021-12-23 10:07:00.0,17151.9,17151.9,17147.95,17151.65,2000
